"","V1","V2","V3"
"50","59.8912520945262","spec-6620-56368-0501.fits","1611"
"51","59.9649828914943","spec-6406-56330-0456.fits","72"
"52","59.9865726241747","spec-2356-53786-0499.fits","113"
"53","60.0118815103914","spec-5336-55957-0105.fits","1899"
"54","60.2946035664","spec-5111-55840-0716.fits","1443"
"55","60.3094450618908","spec-3755-55504-0496.fits","1375"
"56","60.3264163067827","spec-6125-56273-0414.fits","1767"
"57","60.3567582336172","spec-0632-52071-0263.fits","516"
"58","60.4637889602921","spec-1719-53876-0095.fits","71"
"59","60.4896125051473","spec-6754-56414-0896.fits","2049"
"60","60.5077294272919","spec-7301-56746-0454.fits","118"
"61","60.5095616100569","spec-0314-51641-0211.fits","826"
"62","60.5641198052714","spec-6465-56279-0857.fits","1943"
"63","60.7572520596625","spec-6447-56362-0485.fits","1814"
"64","60.8863923443959","spec-4801-55653-0130.fits","2217"
"65","60.9170209717047","spec-2261-53612-0404.fits","24"
"66","60.9979876460519","spec-5397-55944-0285.fits","2191"
"67","61.1664124305009","spec-0390-51900-0010.fits","1651"
"68","61.1664124305009","spec-0750-52235-0328.fits","1651"
"69","61.1664124305009","spec-0924-52409-0636.fits","1651"
"70","61.2634380018025","spec-7395-57131-0208.fits","1143"
"71","61.439630457317","spec-7258-56605-0453.fits","1638"
"72","61.4793538123627","spec-6461-56329-0925.fits","1946"
"73","61.5432468515864","spec-4870-55923-0229.fits","1883"
"74","61.6211791944716","spec-1757-53083-0437.fits","33"
"75","61.6368863729512","spec-6803-56402-0747.fits","2246"
"76","61.6618928801856","spec-5972-56334-0558.fits","161"
"77","61.6735903879925","spec-4058-55358-0634.fits","2049"
"78","61.8256293707414","spec-6161-56238-0336.fits","1351"
"79","61.8410857639419","spec-4347-55830-0615.fits","2073"
"80","61.9505473632624","spec-4611-55603-0878.fits","48"
"81","62.1708198283928","spec-5793-56337-0530.fits","772"
"82","62.1898959841635","spec-6145-56266-0755.fits","1927"
"83","62.2628843641276","spec-6656-56624-0929.fits","2260"
"84","62.2638678781059","spec-0935-52643-0464.fits","2182"
"85","62.2638678781059","spec-1301-52976-0123.fits","2182"
"86","62.2638678781059","spec-1397-53119-0412.fits","2182"
"87","62.2638678781059","spec-1437-53046-0166.fits","2182"
"88","62.2638678781059","spec-1685-53463-0384.fits","2182"
"89","62.2638678781059","spec-1728-53228-0337.fits","2182"
"90","62.2638678781059","spec-1923-53319-0383.fits","2182"
"91","62.2638678781059","spec-2179-53555-0564.fits","2182"
"92","62.2638678781059","spec-7424-57160-0977.fits","2182"
"93","62.4738026802224","spec-4039-55648-0759.fits","2201"
"94","62.5171583437193","spec-4494-55569-0447.fits","668"
"95","62.6956248714223","spec-4464-55866-0887.fits","2262"
"96","62.7710660804121","spec-5047-55833-0214.fits","483"
"97","63.1025860471906","spec-6008-56093-0606.fits","2436"
"98","63.2528564725967","spec-4391-55866-0036.fits","186"
"99","63.3700013103702","spec-7257-56658-0239.fits","1349"
"100","63.7476317937396","spec-5302-55896-0613.fits","622"
