"word","freq","proportion"
"weekend",540,0.0180589927095178
"professional",539,0.0180255501304261
"now",531,0.0177580094976925
"years",528,0.0176576817604174
"big",527,0.0176242391813257
"wedding",519,0.0173566985485921
"used",518,0.0173232559695004
"able",517,0.0172898133904087
"walking",516,0.017256370811317
"dinner",511,0.0170891579158585
"still",511,0.0170891579158585
"wait",511,0.0170891579158585
"floor",509,0.0170222727576751
"beds",507,0.0169553875994917
"street",504,0.0168550598622166
"long",501,0.0167547321249415
"modern",498,0.0166544043876664
"found",497,0.0166209618085747
"accommodating",496,0.016587519229483
"park",495,0.0165540766503913
"bit",494,0.0165206340712996
"full",493,0.0164871914922079
"shower",493,0.0164871914922079
"worth",489,0.0163534211758411
"absolutely",484,0.0161862082803826
"old",483,0.0161527657012909
"huge",482,0.0161193231221992
"year",476,0.015918667647649
"water",474,0.0158517824894656
"though",473,0.0158183399103739
"another",471,0.0157514547521905
"wanted",469,0.0156845695940071
"think",467,0.0156176844358237
"give",466,0.015584241856732
"different",463,0.0154839141194569
"center",461,0.0154170289612735
"cool",459,0.0153501438030901
"try",458,0.0153167012239984
"called",457,0.0152832586449067
"within",456,0.015249816065815
"lots",454,0.0151829309076316
"early",453,0.0151494883285399
"gave",453,0.0151494883285399
"travel",445,0.0148819476958063
"thing",444,0.0148485051167146
"kind",443,0.0148150625376229
"overall",442,0.0147816199585312
"quick",441,0.0147481773794395
"arrived",437,0.0146144070630727
"look",437,0.0146144070630727
"flight",436,0.014580964483981
"fresh",432,0.0144471941676142
"plenty",429,0.0143468664303391
"care",425,0.0142130961139723
"hours",422,0.0141127683766972
"several",418,0.0139789980603304
"theres",412,0.0137783425857802
"door",410,0.0137114574275968
"outside",408,0.0136445722694134
"available",407,0.0136111296903217
"drinks",405,0.0135442445321383
"quiet",405,0.0135442445321383
"thanks",404,0.0135108019530466
"friends",401,0.0134104742157715
"wine",401,0.0134104742157715
"help",399,0.0133435890575881
"options",398,0.0133101464784964
"distance",397,0.0132767038994047
"building",394,0.0131763761621296
"special",391,0.0130760484248545
"located",391,0.0130760484248545
"across",391,0.0130760484248545
"said",391,0.0130760484248545
"getting",388,0.0129757206875794
"something",388,0.0129757206875794
"places",387,0.0129422781084877
"anyone",385,0.0128753929503043
"especially",385,0.0128753929503043
"checked",382,0.0127750652130292
"wifi",382,0.0127750652130292
"without",381,0.0127416226339375
"favorite",380,0.0127081800548458
"bus",378,0.0126412948966624
"game",378,0.0126412948966624
"far",378,0.0126412948966624
"days",377,0.0126078523175707
"local",376,0.012574409738479
"extra",376,0.012574409738479
"event",376,0.012574409738479
"valet",375,0.0125409671593873
"company",373,0.0124740820012039
"actually",373,0.0124740820012039
"stop",373,0.0124740820012039
"complimentary",373,0.0124740820012039
"history",372,0.0124406394221122
"job",368,0.0123068691057454
"drive",367,0.0122734265266537
"plus",366,0.012239983947562
"suite",363,0.0121396562102869
"late",363,0.0121396562102869
"guests",361,0.0120727710521035
"inside",359,0.0120058858939201
"beyond",359,0.0120058858939201
"kids",359,0.0120058858939201
"space",356,0.011905558156645
"side",356,0.011905558156645
"enjoy",354,0.0118386729984616
"done",352,0.0117717878402782
"pleasant",352,0.0117717878402782
"open",351,0.0117383452611865
"week",349,0.0116714601030031
"part",347,0.0116045749448197
"left",341,0.0114039194702695
"review",341,0.0114039194702695
"rental",340,0.0113704768911778
"husband",339,0.0113370343120861
"deal",333,0.011136378837536
"anything",332,0.0111029362584443
"return",331,0.0110694936793526
"quite",331,0.0110694936793526
"let",330,0.0110360511002609
"booked",330,0.0110360511002609
"felt",328,0.0109691659420775
"wasnt",328,0.0109691659420775
"told",325,0.0108688382048024
"call",323,0.010801953046619
"person",323,0.010801953046619
"coming",323,0.010801953046619
"minute",321,0.0107350678884356
"pick",321,0.0107350678884356
"couldnt",320,0.0107016253093439
"convenient",319,0.0106681827302522
"couple",316,0.0105678549929771
"etc",315,0.0105344124138854
"three",315,0.0105344124138854
"making",314,0.0105009698347937
"lovely",313,0.010467527255702
"thats",313,0.010467527255702
"high",312,0.0104340846766103
"stars",312,0.0104340846766103
